date,Month,Day,location,population
2021-09-09,9,9,1,476672
2021-09-09,9,9,2,1442008
2021-09-09,9,9,3,480925
2021-09-09,9,9,4,311515
2021-09-08,9,8,0,1710558
2021-09-08,9,8,1,476672
2021-09-08,9,8,2,1442008
2021-09-08,9,8,3,480925
2021-09-08,9,8,4,311515
2021-09-07,9,7,0,1710558
2021-09-07,9,7,1,476672
2021-09-07,9,7,2,1442008
2021-09-07,9,7,3,480925
2021-09-07,9,7,4,311515
2021-09-06,9,6,0,1710558
2021-09-06,9,6,1,476672
2021-09-06,9,6,2,1442008
2021-09-06,9,6,3,480925
2021-09-06,9,6,4,311515
2021-09-02,9,2,0,1710558
2021-09-02,9,2,1,476672
2021-09-02,9,2,2,1442008
2021-09-02,9,2,3,480925
2021-09-02,9,2,4,311515
2021-09-01,9,1,0,1710558
2021-09-01,9,1,1,476672
2021-09-01,9,1,2,1442008
2021-09-01,9,1,3,480925
2021-09-01,9,1,4,311515
2021-08-31,8,31,0,1710558
2021-08-31,8,31,1,476672
2021-08-31,8,31,2,1442008
2021-08-31,8,31,3,480925
2021-08-31,8,31,4,311515
2021-08-30,8,30,0,1710558
2021-08-30,8,30,1,476672
2021-08-30,8,30,2,1442008
2021-08-30,8,30,3,480925
2021-08-30,8,30,4,311515
2021-08-29,8,29,0,1710558
2021-08-29,8,29,1,476672
2021-08-29,8,29,2,1442008
2021-08-29,8,29,3,480925
2021-08-29,8,29,4,311515
2021-08-26,8,26,0,1710558
2021-08-26,8,26,1,476672
2021-08-26,8,26,2,1442008
2021-08-26,8,26,3,480925
2021-08-26,8,26,4,311515
2021-08-25,8,25,0,1710558
2021-08-25,8,25,1,476672
2021-08-25,8,25,2,1442008
2021-08-25,8,25,3,480925
2021-08-25,8,25,4,311515
2021-08-24,8,24,0,1710558
2021-08-24,8,24,1,476672
2021-08-24,8,24,2,1442008
2021-08-24,8,24,3,480925
2021-08-24,8,24,4,311515
2021-08-23,8,23,0,1710558
2021-08-23,8,23,1,476672
2021-08-23,8,23,2,1442008
2021-08-23,8,23,3,480925
2021-08-23,8,23,4,311515
2021-08-22,8,22,0,1710558
2021-08-22,8,22,1,476672
2021-08-22,8,22,2,1442008
2021-08-22,8,22,3,480925
2021-08-22,8,22,4,311515
2021-08-19,8,19,0,1710558
2021-08-19,8,19,1,476672
2021-08-19,8,19,2,1442008
2021-08-19,8,19,3,480925
2021-08-19,8,19,4,311515
2021-08-18,8,18,0,1710558
2021-08-18,8,18,1,476672
2021-08-18,8,18,2,1442008
2021-08-18,8,18,3,480925
2021-08-18,8,18,4,311515
2021-08-17,8,17,0,1710558
2021-08-17,8,17,1,476672
2021-08-17,8,17,2,1442008
2021-08-17,8,17,3,480925
2021-08-17,8,17,4,311515
2021-08-16,8,16,0,1710558
2021-08-16,8,16,1,476672
2021-08-16,8,16,2,1442008
2021-08-16,8,16,3,480925
2021-08-16,8,16,4,311515
2021-08-15,8,15,0,1710558
2021-08-15,8,15,1,476672
2021-08-15,8,15,2,1442008
2021-08-15,8,15,3,480925
2021-08-15,8,15,4,311515
2021-08-12,8,12,0,1710558
2021-08-12,8,12,1,476672
2021-08-12,8,12,2,1442008
2021-08-12,8,12,3,480925
2021-08-12,8,12,4,311515
2021-08-11,8,11,0,1710558
2021-08-11,8,11,1,476672
2021-08-11,8,11,2,1442008
2021-08-11,8,11,3,480925
2021-08-11,8,11,4,311515
2021-08-10,8,10,0,1710558
2021-08-10,8,10,1,476672
2021-08-10,8,10,2,1442008
2021-08-10,8,10,3,480925
2021-08-10,8,10,4,311515
2021-08-09,8,9,0,1710558
2021-08-09,8,9,1,476672
2021-08-09,8,9,2,1442008
2021-08-09,8,9,3,480925
2021-08-09,8,9,4,311515
2021-08-08,8,8,0,1710558
2021-08-08,8,8,1,476672
2021-08-08,8,8,2,1442008
2021-08-08,8,8,3,480925
2021-08-08,8,8,4,311515
2021-08-05,8,5,0,1710558
2021-08-05,8,5,1,476672
2021-08-05,8,5,2,1442008
2021-08-05,8,5,3,480925
2021-08-05,8,5,4,311515
2021-08-04,8,4,0,1710558
2021-08-04,8,4,1,476672
2021-08-04,8,4,2,1442008
2021-08-04,8,4,3,480925
2021-08-04,8,4,4,311515
2021-08-03,8,3,0,1710558
2021-08-03,8,3,1,476672
2021-08-03,8,3,2,1442008
2021-08-03,8,3,3,480925
2021-08-03,8,3,4,311515
2021-08-02,8,2,0,1710558
2021-08-02,8,2,1,476672
2021-08-02,8,2,2,1442008
2021-08-02,8,2,3,480925
2021-08-02,8,2,4,311515
2021-07-29,7,29,0,1710558
2021-07-29,7,29,1,476672
2021-07-29,7,29,2,1442008
2021-07-29,7,29,3,480925
2021-07-29,7,29,4,311515
2021-07-28,7,28,0,1710558
2021-07-28,7,28,1,476672
2021-07-28,7,28,2,1442008
2021-07-28,7,28,3,480925
2021-07-28,7,28,4,311515
2021-07-27,7,27,0,1710558
2021-07-27,7,27,1,476672
2021-07-27,7,27,2,1442008
2021-07-27,7,27,3,480925
2021-07-27,7,27,4,311515
2021-07-26,7,26,0,1710558
2021-07-26,7,26,1,476672
2021-07-26,7,26,2,1442008
2021-07-26,7,26,3,480925
2021-07-26,7,26,4,311515
2021-07-25,7,25,0,1710558
2021-07-25,7,25,1,476672
2021-07-25,7,25,2,1442008
2021-07-25,7,25,3,480925
2021-07-25,7,25,4,311515
2021-07-22,7,22,0,1710558
2021-07-22,7,22,1,476672
2021-07-22,7,22,2,1442008
2021-07-22,7,22,3,480925
2021-07-22,7,22,4,311515
2021-07-21,7,21,0,1710558
2021-07-21,7,21,1,476672
2021-07-21,7,21,2,1442008
2021-07-21,7,21,3,480925
2021-07-21,7,21,4,311515
2021-07-20,7,20,0,1710558
2021-07-20,7,20,1,476672
2021-07-20,7,20,2,1442008
2021-07-20,7,20,3,480925
2021-07-20,7,20,4,311515
2021-07-19,7,19,0,1710558
2021-07-19,7,19,1,476672
2021-07-19,7,19,2,1442008
2021-07-19,7,19,3,480925
2021-07-19,7,19,4,311515
2021-07-18,7,18,0,1710558
