date,Month,Day,location,dose_1,dose_2
2021-05-26,5,26,2,782300,123126
2021-05-26,5,26,3,183891,30052
2021-05-26,5,26,4,151803,29190
2021-05-25,5,25,0,892410,129923
2021-05-25,5,25,1,204824,39499
2021-05-25,5,25,2,771506,120853
2021-05-25,5,25,3,181086,29367
2021-05-25,5,25,4,150558,28659
2021-05-24,5,24,0,881080,128563
2021-05-24,5,24,1,203482,39023
2021-05-24,5,24,2,764734,119602
2021-05-24,5,24,3,178484,29000
2021-05-24,5,24,4,149520,28369
2021-05-23,5,23,0,870697,128214
2021-05-23,5,23,1,203229,38906
2021-05-23,5,23,2,758632,119103
2021-05-23,5,23,3,177176,28863
2021-05-23,5,23,4,148711,28301
2021-05-22,5,22,0,859369,127627
2021-05-22,5,22,1,202146,38799
2021-05-22,5,22,2,749675,118263
2021-05-22,5,22,3,176097,28720
2021-05-22,5,22,4,147813,28229
2021-05-21,5,21,0,839246,125999
2021-05-21,5,21,1,199733,38268
2021-05-21,5,21,2,735502,116409
2021-05-21,5,21,3,173404,28343
2021-05-21,5,21,4,145898,28092
2021-05-20,5,20,0,815532,124585
2021-05-20,5,20,1,196225,37778
2021-05-20,5,20,2,717132,114676
2021-05-20,5,20,3,168993,27747
2021-05-20,5,20,4,143233,27698
2021-05-19,5,19,0,782142,122775
2021-05-19,5,19,1,188742,37100
2021-05-19,5,19,2,688127,112408
2021-05-19,5,19,3,160961,26763
2021-05-19,5,19,4,137991,27127
2021-05-18,5,18,0,765447,121966
2021-05-18,5,18,1,185959,36719
2021-05-18,5,18,2,676736,111535
2021-05-18,5,18,3,156930,26170
2021-05-18,5,18,4,136102,26923
2021-05-17,5,17,0,740349,121006
2021-05-17,5,17,1,181683,36316
2021-05-17,5,17,2,662487,110617
2021-05-17,5,17,3,151873,25777
2021-05-17,5,17,4,132886,26631
2021-05-16,5,16,0,740349,121006
2021-05-16,5,16,1,181683,36316
2021-05-16,5,16,2,662487,110617
2021-05-16,5,16,3,151873,25777
2021-05-16,5,16,4,132886,26631
2021-05-15,5,15,0,730493,120810
2021-05-15,5,15,1,180333,36327
